Locations,Field,Soil fertility,Treatment,Period,Total Nitrogen (g kg-1),Soil organic carbon (g kg-1),pH (H20),Resin_Phosphorus (mg kg-1),Exchangeable_Potassium (mg kg-1),Sand (g kg-1),Silt (g kg-1),Clay (g kg-1)
Mbeere,25,High,CTM,Baseline,0.4183608905949988,4.134008174810092,7.03,3.181420265996761,0.46061191115277317,,,
Mbeere,25,High,NTRM,Baseline,0.4183608905949988,4.134008174810092,7.03,3.181420265996761,0.46061191115277317,,,
Mbeere,26,High,C,Baseline,0.4183608905949988,4.134008174810092,7.03,0.3597376205840803,0.15765093262663474,,,
Mbeere,26,High,NTR,Baseline,0.4183608905949988,4.134008174810092,7.03,0.3597376205840803,0.15765093262663474,,,
Mbeere,26,High,CTM,Baseline,0.4183608905949988,4.134008174810092,7.03,0.3597376205840803,0.15765093262663474,,,
Mbeere,26,High,NTRM,Baseline,0.4183608905949988,4.134008174810092,7.03,0.3597376205840803,0.15765093262663474,,,
Mbeere,27,High,C,Baseline,0.5,4.0,6.66,2.1810282287263543,0.6090313047464445,,,
Mbeere,27,High,NTR,Baseline,0.5,4.0,6.66,2.1810282287263543,0.6090313047464445,,,
Mbeere,27,High,CTM,Baseline,0.5,4.0,6.66,2.1810282287263543,0.6090313047464445,,,
Mbeere,27,High,NTRM,Baseline,0.5,4.0,6.66,2.1810282287263543,0.6090313047464445,,,
Mbeere,28,Low,C,Baseline,0.5172191734544815,3.9916457740918325,6.03,0.7338774827758965,0.30646137806436796,,,
Mbeere,28,Low,NTR,Baseline,0.5172191734544815,3.9916457740918325,6.03,0.7338774827758965,0.30646137806436796,,,
Mbeere,28,Low,CTM,Baseline,0.5172191734544815,3.9916457740918325,6.03,0.7338774827758965,0.30646137806436796,,,
Mbeere,28,Low,NTRM,Baseline,0.5172191734544815,3.9916457740918325,6.03,0.7338774827758965,0.30646137806436796,,,
Mbeere,33,High,C,Baseline,0.44703473606377964,5.1411851233109696,7.69,3.20017227757631,0.5587341176956836,,,
Mbeere,33,High,NTR,Baseline,0.44703473606377964,5.1411851233109696,7.69,3.20017227757631,0.5587341176956836,,,
Mbeere,33,High,CTM,Baseline,0.44703473606377964,5.1411851233109696,7.69,3.20017227757631,0.5587341176956836,,,
Mbeere,33,High,NTRM,Baseline,0.44703473606377964,5.1411851233109696,7.69,3.20017227757631,0.5587341176956836,,,
Mbeere,34,Low,C,Baseline,0.4495255909153745,4.5101487930976045,7.29,0.015332036267864486,0.5771689286878929,,,
Mbeere,34,Low,NTR,Baseline,0.4495255909153745,4.5101487930976045,7.29,0.015332036267864486,0.5771689286878929,,,
Mbeere,34,Low,CTM,Baseline,0.4495255909153745,4.5101487930976045,7.29,0.015332036267864486,0.5771689286878929,,,
Mbeere,34,Low,NTRM,Baseline,0.4495255909153745,4.5101487930976045,7.29,0.015332036267864486,0.5771689286878929,,,
Mbeere,35,High,C,Baseline,0.5601186915698896,4.721301323812018,7.67,28.75789174061091,1.4710146147089662,,,
Mbeere,35,High,NTR,Baseline,0.5601186915698896,4.721301323812018,7.67,28.75789174061091,1.4710146147089662,,,
Mbeere,35,High,CTM,Baseline,0.5601186915698896,4.721301323812018,7.67,28.75789174061091,1.4710146147089662,,,
Mbeere,35,High,NTRM,Baseline,0.5601186915698896,4.721301323812018,7.67,28.75789174061091,1.4710146147089662,,,
Mbeere,36,Low,C,Baseline,0.46619135445048654,4.77262604138761,6.99,0.4997763779013025,0.3377820681787003,,,
Mbeere,36,Low,NTR,Baseline,0.46619135445048654,4.77262604138761,6.99,0.4997763779013025,0.3377820681787003,,,
Mbeere,36,Low,CTM,Baseline,0.46619135445048654,4.77262604138761,6.99,0.4997763779013025,0.3377820681787003,,,
Mbeere,36,Low,NTRM,Baseline,0.46619135445048654,4.77262604138761,6.99,0.4997763779013025,0.3377820681787003,,,
Mbeere,39,High,C,Baseline,1.0947038939094478,10.043549229457225,7.39,13.35420780987553,1.3088155359720806,,,
Mbeere,39,High,NTR,Baseline,1.0947038939094478,10.043549229457225,7.39,13.35420780987553,1.3088155359720806,,,
Mbeere,39,High,CTM,Baseline,1.0947038939094478,10.043549229457225,7.39,13.35420780987553,1.3088155359720806,,,
Mbeere,39,High,NTRM,Baseline,1.0947038939094478,10.043549229457225,7.39,13.35420780987553,1.3088155359720806,,,
Mbeere,40,High,C,Baseline,1.0947038939094478,10.043549229457225,7.39,1.9013821958662978,1.0103137470661676,,,
Mbeere,40,High,NTR,Baseline,1.0947038939094478,10.043549229457225,7.39,1.9013821958662978,1.0103137470661676,,,
Mbeere,40,High,CTM,Baseline,1.0947038939094478,10.043549229457225,7.39,1.9013821958662978,1.0103137470661676,,,
Mbeere,40,High,NTRM,Baseline,1.0947038939094478,10.043549229457225,7.39,1.9013821958662978,1.0103137470661676,,,
Embu,1,High,C,Trial end,2.322558931466049,17.9168243307069,6.0,6.151817832434067,0.004571382222793488,120.0,120.0,700.0
Embu,1,High,NTR,Trial end,2.563416486038686,25.323987596581947,5.63,41.741966353719356,0.7614258982615421,120.0,120.0,700.0
Embu,1,High,CTM,Trial end,2.3513249959528055,22.184030469136037,5.87,14.405517566847353,0.49338469544704855,120.0,120.0,700.0
Embu,1,High,NTRM,Trial end,2.329339449944415,22.118888377978898,5.73,11.677715288495488,0.6061691135096424,120.0,120.0,700.0
Embu,2,High,C,Trial end,2.2512908542457053,21.307851313440352,5.806,5.608437476630482,0.10169379446580326,110.0,160.0,710.0
