Location,Depth,Field,Treatment,Air permeability (µ m2),Hydraulic conductivity (m day-1),Bulk density (Mg m-3),Mean weight diameter (mm),Shear strength (kPa),Field capacity (m3 m-3),Permanent wilting point (m3 m-3),Matrix-porosity (m3 m-3),Macro-porosity (m3 m-3),Plant available water content (m3 m-3),Relative water capacity,Air capacity (m3 m-3)
Machang'a,Sub,6,CTM,0.7857625363186717,0.47225422544390894,1.571343027798563,0.3820328542094456,109.35999999999999,0.13113447955977903,0.09138968351588052,0.221251538545015,0.14578178306748502,0.03974479604389851,0.3572822189104288,0.235898842052721
Machang'a,Sub,6,NTRM,1.4813542426073134,0.06995119285455488,1.5164270891502822,0.4356490872210954,109.35999999999999,0.2423052605832676,0.18460851520090363,0.3324147813892098,0.07980900916211664,0.05769674538236397,0.5878002826066825,0.16991852996805887
Machang'a,Sub,7,C,0.8521198689571923,0.07630513000610956,1.6399896601342603,0.4319613821138211,109.35999999999999,0.16214988833938057,0.10244643721024527,0.23671985787301067,0.11123553169543735,0.059703451129135304,0.4660076929415783,0.18580550122906744
Machang'a,Sub,7,NTR,0.2201229086027204,0.049610146443600636,1.7680912929399617,0.49825349301397204,150.36999999999998,0.209242906385885,0.16067312439496428,0.26950030432389765,0.11274551628858781,0.04856978199092071,0.5474040397632287,0.17300291422660047
Machang'a,Sub,7,CTM,1.251949042677972,0.05446091631808602,1.5477165334105922,0.4844123505976095,123.03,0.20872006034729249,0.1476915924651523,0.2892300569770427,0.09251172274036806,0.0610284678821402,0.5467571836171565,0.17302171937011826
Machang'a,Sub,7,NTRM,0.8149630777836662,0.33543677697411406,1.5254649776919087,0.6522443890274314,150.36999999999998,0.19038415212335535,0.1289252315661601,0.2597666569144053,0.1377095946815523,0.06145892055719526,0.4789824583454223,0.20709209947260226
Machang'a,Sub,8,C,0.20655286190106248,0.0009261,1.9004009170682927,0.33881578947368424,123.03,0.2977682602919659,0.21601994702504357,0.3264640002937164,0.06961101180632417,0.08174831326692233,0.7517976423535541,0.09830675180807469
Machang'a,Sub,8,NTR,0.32952134209503625,0.01328764,1.6425927257179154,0.2228217821782178,150.36999999999998,0.1225187992857238,0.059982318635766446,0.27199576683670207,0.09070315994875272,0.06253648064995736,0.33779752361439064,0.240180127499731
Machang'a,Sub,8,CTM,0.44112984495083324,0.054653929000000004,1.5184652703389725,0.24392430278884464,136.7,0.2749668432119152,0.21562388799900303,0.3317802762410593,0.06456909786482817,0.05934295521291219,0.693748649993972,0.12138253089397227
Machang'a,Sub,8,NTRM,0.02743248597420952,0.02217094,1.5785005564151129,0.27140718562874255,142.16799999999998,0.2660812332817616,0.2304960530515521,0.3089580766396718,0.04790298510677238,0.035585180230209484,0.745615764240529,0.09077982846468258
Machang'a,Sub,9,C,1.9908581084908434,0.4957279529523859,1.6186464484130165,0.2824695121951219,128.498,0.1659077755048653,0.11243078969131219,0.23468257368831724,0.13044195521674962,0.053476985813553105,0.45438682523573115,0.19921675340020156
Machang'a,Sub,9,NTR,2.0320482762527234,0.466184569897648,1.4950286683960563,0.437,133.966,0.1257081162615304,0.08432197791291914,0.22388821296159822,0.16565559878551211,0.041386138348611254,0.322705976762222,0.26383569548557995
Machang'a,Sub,9,CTM,1.084674417729494,0.7537911169773602,1.5086761387257335,0.27749003984063747,142.16799999999998,0.15673857778264474,0.10835095326421694,0.24604292056600208,0.18988109528467162,0.048387624518427805,0.3595548124981848,0.279185438068029
Machang'a,Sub,9,NTRM,0.3714574082670907,0.01904931,1.4548256174036263,0.4072085889570553,117.56199999999998,0.14265635101275184,0.08355417397250552,0.2169286584933186,0.2065658923430203,0.059102177040246326,0.3368552221770663,0.28083819982358704
Machang'a,Sub,10,C,0.3176974710004122,0.18632190207673957,1.9281341415687643,0.4278846153846154,128.498,0.2383901017418849,0.1924809049814092,0.3064105910181907,0.07489371488716573,0.045909196760475696,0.625196458707329,0.1429142041634715
Machang'a,Sub,10,NTR,2.0910298127936264,0.1979603464251104,1.4498634268794615,0.36052104208416824,133.966,0.2264875412403416,0.17186527182857872,0.29517110708245065,0.10969890272230903,0.054622269411762875,0.5594080464234943,0.17838246856441808
Machang'a,Sub,10,CTM,0.06892653827356769,0.16536715481200204,1.4565818985403458,0.4117647058823529,136.7,0.2520135866448107,0.18171219724364732,0.2935909105608941,0.09220972582173759,0.0703013894011634,0.6532223197135092,0.13378704973782096
Machang'a,Sub,10,NTRM,0.027273409187041974,0.0387531,1.541938718305873,0.5189620758483036,144.902,0.28569756058836016,0.21200638115257908,0.33270644735192834,0.0606863372310707,0.07369117943578107,0.7262399611401182,0.10769522399463888
